########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/datasets/insitu-observations-woudc-ozone-total-column-and-profiles
# This is a C3S product under the following licences:
# 20180314_Copernicus_License_V1.1
# woudc-data-policy
# This is a CSV file following the CDS convention cdm-obs
# Data source: TotalOzone
# Time extent: 20040101 - 20250331
# Geographic area (minlat/maxlat/minlon/maxlon): 50.80/50.80/4.35/4.35
# Variables selected and units:
# total_ozone_column [Dobson-units]
# standard_deviation_ozone [None]
# Uncertainty legend:
# No uncertainty columns available for this dataset.
########################################################################################
index,observation_id,report_id,observed_variable,observation_value,units,sensor_id,primary_station_id,height_of_station_above_sea_level,report_timestamp,longitude,latitude
149,501942,20340,standard_deviation_ozone,0.9,None,Beck,53,100.0,2004-02-05,4.35,50.8
150,478899,19412,total_ozone_column,290.9,Dobson-units,MKII,53,100.0,2004-02-06,4.35,50.8
151,478927,19413,total_ozone_column,287.8,Dobson-units,MKIII,53,100.0,2004-02-06,4.35,50.8
152,501943,20340,total_ozone_column,282.0,Dobson-units,Beck,53,100.0,2004-02-06,4.35,50.8
153,478899,19412,standard_deviation_ozone,3.9,None,MKII,53,100.0,2004-02-06,4.35,50.8
154,478927,19413,standard_deviation_ozone,7.5,None,MKIII,53,100.0,2004-02-06,4.35,50.8
155,501943,20340,standard_deviation_ozone,3.9,None,Beck,53,100.0,2004-02-06,4.35,50.8
156,478900,19412,total_ozone_column,376.1,Dobson-units,MKII,53,100.0,2004-02-07,4.35,50.8
157,478928,19413,total_ozone_column,377.7,Dobson-units,MKIII,53,100.0,2004-02-07,4.35,50.8
158,478900,19412,standard_deviation_ozone,4.1,None,MKII,53,100.0,2004-02-07,4.35,50.8
159,478928,19413,standard_deviation_ozone,4.4,None,MKIII,53,100.0,2004-02-07,4.35,50.8
160,478901,19412,total_ozone_column,428.9,Dobson-units,MKII,53,100.0,2004-02-08,4.35,50.8
161,478901,19412,standard_deviation_ozone,5.0,None,MKII,53,100.0,2004-02-08,4.35,50.8
162,478902,19412,total_ozone_column,342.0,Dobson-units,MKII,53,100.0,2004-02-09,4.35,50.8
163,478929,19413,total_ozone_column,345.0,Dobson-units,MKIII,53,100.0,2004-02-09,4.35,50.8
164,501944,20340,total_ozone_column,349.9,Dobson-units,Beck,53,100.0,2004-02-09,4.35,50.8
165,478902,19412,standard_deviation_ozone,2.2,None,MKII,53,100.0,2004-02-09,4.35,50.8
166,478929,19413,standard_deviation_ozone,2.8,None,MKIII,53,100.0,2004-02-09,4.35,50.8
167,501944,20340,standard_deviation_ozone,20.9,None,Beck,53,100.0,2004-02-09,4.35,50.8
168,478903,19412,total_ozone_column,351.9,Dobson-units,MKII,53,100.0,2004-02-10,4.35,50.8
169,478930,19413,total_ozone_column,354.6,Dobson-units,MKIII,53,100.0,2004-02-10,4.35,50.8
170,501945,20340,total_ozone_column,339.3,Dobson-units,Beck,53,100.0,2004-02-10,4.35,50.8
171,478903,19412,standard_deviation_ozone,1.0,None,MKII,53,100.0,2004-02-10,4.35,50.8
172,478930,19413,standard_deviation_ozone,1.3,None,MKIII,53,100.0,2004-02-10,4.35,50.8
173,501945,20340,standard_deviation_ozone,11.1,None,Beck,53,100.0,2004-02-10,4.35,50.8
174,478904,19412,total_ozone_column,344.4,Dobson-units,MKII,53,100.0,2004-02-11,4.35,50.8
175,478931,19413,total_ozone_column,332.4,Dobson-units,MKIII,53,100.0,2004-02-11,4.35,50.8
176,501946,20340,total_ozone_column,353.6,Dobson-units,Beck,53,100.0,2004-02-11,4.35,50.8
177,478904,19412,standard_deviation_ozone,4.5,None,MKII,53,100.0,2004-02-11,4.35,50.8
178,478931,19413,standard_deviation_ozone,7.0,None,MKIII,53,100.0,2004-02-11,4.35,50.8
179,501946,20340,standard_deviation_ozone,0.0,None,Beck,53,100.0,2004-02-11,4.35,50.8
